55	15572	15568	15574	15569	15573	15563	15568	15575	
56	15572	15570	15575	15566	15572	15567	15568	15578	
57	15578	15567	15574	15566	15572	15565	15570	15579	
58	15571	15567	15572	15572	15571	15566	15569	15580	
59	15574	15569	15573	15572	15573	15563	15570	15574	
60	15574	15566	15574	15573	15567	15565	15568	15585	
61	15576	15573	15576	15568	15569	15566	15576	15578	
62	15575	15572	15571	15573	15574	15567	15570	15576	
63	15573	15574	15571	15566	15570	15562	15570	15578	
64	15577	15571	15572	15566	15572	15564	15569	15576	
65	15575	15571	15570	15569	15570	15568	15566	15568	
66	15573	15571	15576	15566	15570	15565	15572	15580	
67	15574	15570	15575	15570	15572	15561	15566	15587	
68	15574	15566	15571	15568	15571	15568	15572	15577	
69	15576	15568	15574	15565	15572	15568	15572	15577	
70	15571	15571	15569	15567	15573	15565	15570	15574	
71	15573	15569	15576	15570	15569	15567	15570	15575	
72	15568	15571	15569	15565	15567	15568	15572	15579	
73	15568	15571	15572	15569	15566	15565	15565	15580	
74	15576	15569	15573	15572	15572	15568	15567	15577	
75	15576	15568	15575	15567	15574	15562	15572	15579	
76	15572	15568	15575	15569	15571	15566	15571	15575	
77	15570	15573	15571	15570	15574	15561	15570	15583	
78	15567	15570	15571	15568	15571	15565	15572	15582	
79	15577	15570	15570	15571	15571	15563	15571	15576	
80	15575	15571	15572	15567	15575	15568	15566	15583	
81	15576	15571	15574	15569	15572	15564	15571	15573	
82	15573	15570	15574	15574	15573	15564	15571	15579	
83	15576	15569	15574	15570	15573	15568	15567	15576	
84	15571	15569	15573	15567	15576	15566	15570	15578	
85	15572	15568	15572	15569	15573	15562	15567	15577	
86	15572	15568	15574	15570	15569	15561	15575	15580	
87	15572	15577	15576	15571	15570	15566	15570	15574	
88	15577	15569	15566	15569	15567	15566	15573	15577	
89	15579	15568	15573	15571	15576	15562	15569	15582	
90	15574	15569	15572	15565	15569	15568	15570	15581	
91	15576	15572	15569	15569	15571	15560	15572	15582	
92	15573	15569	15570	15565	15571	15567	15572	15576	
93	15574	15574	15573	15568	15569	15566	15567	15582	
94	15570	15572	15575	15562	15573	15564	15567	15578	
95	15577	15569	15567	15567	15576	15564	15572	15580	
96	15576	15569	15573	15566	15573	15563	15569	15573	
97	15571	15568	15576	15568	15572	15565	15570	15578	
98	15572	15568	15571	15573	15572	15563	15567	15578	
99	15571	15571	15570	15572	15572	15564	15572	15576	
100	15574	15570	15569	15568	15573	15564	15572	15574	
101	15581	15569	15573	15569	15571	15569	15571	15580	
102	15576	15567	15568	15569	15571	15565	15570	15577	
103	15577	15568	15573	15568	15571	15565	15574	15579	
104	15575	15566	15571	15569	15569	15566	15566	15580	
105	15577	15569	15574	15566	15576	15569	15572	15578	
106	15574	15568	15566	15566	15573	15562	15571	15577	
107	15575	15569	15571	15572	15565	15565	15569	15585	
108	15577	15570	15569	15566	15573	15565	15571	15578	
109	15575	15568	15571	15569	15572	15562	15567	15575	
110	15573	15569	15572	15570	15573	15567	15575	15580	
111	15577	15571	15571	15567	15573	15564	15570	15581	
112	15575	15563	15572	15564	15572	15566	15571	15584	
113	15577	15574	15573	15567	15574	15566	15572	15578	
114	15578	15566	15568	15563	15573	15570	15567	15579	
115	15579	15568	15571	15571	15568	15564	15572	15573	
116	15573	15568	15573	15572	15574	15562	15574	15582	
117	15574	15568	15573	15568	15572	15567	15569	15581	
118	15572	15570	15574	15568	15573	15563	15572	15578	
119	15576	15564	15571	15570	15568	15566	15569	15581	
120	15576	15569	15578	15568	15574	15565	15572	15576	
121	15573	15570	15576	15568	15573	15564	15569	15577	
122	15570	15566	15573	15566	15567	15559	15572	15581	
123	15577	15570	15572	15567	15573	15565	15568	15573	
124	15575	15566	15573	15567	15572	15568	15572	15577	
125	15578	15568	15573	15569	15569	15559	15573	15576	
126	15577	15566	15577	15566	15568	15565	15572	15583	
127	15580	15572	15572	15566	15571	15561	15568	15573	
128	15572	15573	15575	15572	15571	15566	15567	15580	
129	15579	15570	15574	15567	15570	15565	15571	15578	
130	15573	15567	15573	15571	15571	15565	15564	15580	
131	15575	15571	15574	15566	15569	15564	15572	15576	
132	15573	15575	15571	15569	15568	15561	15570	15575	
133	15570	15573	15574	15563	15570	15564	15571	15577	
134	15571	15570	15575	15571	15575	15566	15572	15576	
135	15574	15570	15570	15567	15569	15567	15569	15581	
136	15578	15572	15573	15569	15570	15567	15569	15585	
137	15573	15564	15570	15571	15568	15571	15569	15583	
138	15573	15572	15574	15567	15570	15564	15566	15576	
139	15577	15569	15574	15568	15572	15565	15570	15577	
